"date_str","opp","result","record","team","league","division","pct","date_str2"
"Saturday, Jul 25","DET","L","43-55","BOS","AL","east",0.438775510204082,2015-07-25
"Sunday, Jul 26","DET","W","44-55","BOS","AL","east",0.444444444444444,2015-07-26
"Monday, Jul 27","CHW","L","44-56","BOS","AL","east",0.44,2015-07-27
"Tuesday, Jul 28","CHW","L","44-57","BOS","AL","east",0.435643564356436,2015-07-28
"Wednesday, Jul 29","CHW","L","44-58","BOS","AL","east",0.431372549019608,2015-07-29
"Thursday, Jul 30","CHW","W","45-58","BOS","AL","east",0.436893203883495,2015-07-30
"Friday, Jul 31","TBR","W","46-58","BOS","AL","east",0.442307692307692,2015-07-31
"Saturday, Aug 1","TBR","W","47-58","BOS","AL","east",0.447619047619048,2015-08-01
"Sunday, Aug 2","TBR","L","47-59","BOS","AL","east",0.443396226415094,2015-08-02
"Tuesday, Aug 4","NYY","L","47-60","BOS","AL","east",0.439252336448598,2015-08-04
"Wednesday, Aug 5","NYY","W","48-60","BOS","AL","east",0.444444444444444,2015-08-05
"Thursday, Aug 6","NYY","L","48-61","BOS","AL","east",0.440366972477064,2015-08-06
"Friday, Aug 7","DET","W","49-61","BOS","AL","east",0.445454545454545,2015-08-07
"Saturday, Aug 8","DET","L","49-62","BOS","AL","east",0.441441441441441,2015-08-08
"Sunday, Aug 9","DET","W","50-62","BOS","AL","east",0.446428571428571,2015-08-09
"Tuesday, Aug 11","MIA","L-wo","50-63","BOS","AL","east",0.442477876106195,2015-08-11
"Wednesday, Aug 12","MIA","L","50-64","BOS","AL","east",0.43859649122807,2015-08-12
"Friday, Aug 14","SEA","W","51-64","BOS","AL","east",0.443478260869565,2015-08-14
"Saturday, Aug 15","SEA","W","52-64","BOS","AL","east",0.448275862068966,2015-08-15
"Sunday, Aug 16","SEA","L","52-65","BOS","AL","east",0.444444444444444,2015-08-16
"Monday, Aug 17","CLE","L","52-66","BOS","AL","east",0.440677966101695,2015-08-17
"Tuesday, Aug 18","CLE","W","53-66","BOS","AL","east",0.445378151260504,2015-08-18
"Wednesday, Aug 19","CLE","W","54-66","BOS","AL","east",0.45,2015-08-19
"Thursday, Aug 20","KCR","W","55-66","BOS","AL","east",0.454545454545455,2015-08-20
"Friday, Aug 21","KCR","W","56-66","BOS","AL","east",0.459016393442623,2015-08-21
"Saturday, Aug 22","KCR","L","56-67","BOS","AL","east",0.455284552845528,2015-08-22
"Sunday, Aug 23","KCR","L","56-68","BOS","AL","east",0.451612903225806,2015-08-23
"Monday, Aug 24","CHW","W","57-68","BOS","AL","east",0.456,2015-08-24
"Tuesday, Aug 25","CHW","L","57-69","BOS","AL","east",0.452380952380952,2015-08-25
"Wednesday, Aug 26","CHW","W","58-69","BOS","AL","east",0.456692913385827,2015-08-26
"Friday, Aug 28","NYM","W","59-69","BOS","AL","east",0.4609375,2015-08-28
"Saturday, Aug 29","NYM","W","60-69","BOS","AL","east",0.465116279069767,2015-08-29
"Sunday, Aug 30","NYM","L","60-70","BOS","AL","east",0.461538461538462,2015-08-30
"Monday, Aug 31","NYY","W","61-70","BOS","AL","east",0.465648854961832,2015-08-31
"Tuesday, Sep 1","NYY","L","61-71","BOS","AL","east",0.462121212121212,2015-09-01
"Wednesday, Sep 2","NYY","L","61-72","BOS","AL","east",0.458646616541353,2015-09-02
"Friday, Sep 4","PHI","W","62-72","BOS","AL","east",0.462686567164179,2015-09-04
"Saturday, Sep 5","PHI","W","63-72","BOS","AL","east",0.466666666666667,2015-09-05
"Sunday, Sep 6","PHI","W","64-72","BOS","AL","east",0.470588235294118,2015-09-06
"Monday, Sep 7","TOR","W","65-72","BOS","AL","east",0.474452554744526,2015-09-07
"Tuesday, Sep 8","TOR","L","65-73","BOS","AL","east",0.471014492753623,2015-09-08
"Wednesday, Sep 9","TOR","W","66-73","BOS","AL","east",0.474820143884892,2015-09-09
"Friday, Sep 11","TBR","L","66-74","BOS","AL","east",0.471428571428571,2015-09-11
"Saturday, Sep 12","TBR","W","67-74","BOS","AL","east",0.475177304964539,2015-09-12
"Sunday, Sep 13","TBR","W","68-74","BOS","AL","east",0.47887323943662,2015-09-13
"Monday, Sep 14","BAL","L","68-75","BOS","AL","east",0.475524475524476,2015-09-14
"Tuesday, Sep 15","BAL","L-wo","68-76","BOS","AL","east",0.472222222222222,2015-09-15
"Wednesday, Sep 16","BAL","W","69-76","BOS","AL","east",0.475862068965517,2015-09-16
"Friday, Sep 18","TOR","L","69-77","BOS","AL","east",0.472602739726027,2015-09-18
"Saturday, Sep 19","TOR","W","70-77","BOS","AL","east",0.476190476190476,2015-09-19
"Sunday, Sep 20","TOR","W","71-77","BOS","AL","east",0.47972972972973,2015-09-20
"Monday, Sep 21","TBR","W","72-77","BOS","AL","east",0.483221476510067,2015-09-21
"Tuesday, Sep 22","TBR","L","72-78","BOS","AL","east",0.48,2015-09-22
"Wednesday, Sep 23","TBR","L","72-79","BOS","AL","east",0.47682119205298,2015-09-23
"Thursday, Sep 24","TBR","L","72-80","BOS","AL","east",0.473684210526316,2015-09-24
"Friday, Sep 25","BAL","W","73-80","BOS","AL","east",0.477124183006536,2015-09-25
"Saturday, Sep 26","BAL","W","74-80","BOS","AL","east",0.480519480519481,2015-09-26
"Sunday, Sep 27","BAL","W","75-80","BOS","AL","east",0.483870967741935,2015-09-27
"Monday, Apr 6","TBR","W","1-0","BAL","AL","east",1,2015-04-06
"Tuesday, Apr 7","TBR","W","2-0","BAL","AL","east",1,2015-04-07
"Wednesday, Apr 8","TBR","L","2-1","BAL","AL","east",0.666666666666667,2015-04-08
"Friday, Apr 10","TOR","L","2-2","BAL","AL","east",0.5,2015-04-10
"Saturday, Apr 11","TOR","W","3-2","BAL","AL","east",0.6,2015-04-11
"Sunday, Apr 12","TOR","L","3-3","BAL","AL","east",0.5,2015-04-12
"Monday, Apr 13","NYY","L","3-4","BAL","AL","east",0.428571428571429,2015-04-13
"Tuesday, Apr 14","NYY","W","4-4","BAL","AL","east",0.5,2015-04-14
"Wednesday, Apr 15","NYY","W","5-4","BAL","AL","east",0.555555555555556,2015-04-15
"Friday, Apr 17","BOS","L-wo","5-5","BAL","AL","east",0.5,2015-04-17
"Saturday, Apr 18","BOS","W","6-5","BAL","AL","east",0.545454545454545,2015-04-18
"Sunday, Apr 19","BOS","W","7-5","BAL","AL","east",0.583333333333333,2015-04-19
"Monday, Apr 20","BOS","L","7-6","BAL","AL","east",0.538461538461538,2015-04-20
"Tuesday, Apr 21","TOR","L","7-7","BAL","AL","east",0.5,2015-04-21
"Wednesday, Apr 22","TOR","L","7-8","BAL","AL","east",0.466666666666667,2015-04-22
"Thursday, Apr 23","TOR","L","7-9","BAL","AL","east",0.4375,2015-04-23
"Friday, Apr 24","BOS","L","7-10","BAL","AL","east",0.411764705882353,2015-04-24
"Saturday, Apr 25","BOS","W-wo","8-10","BAL","AL","east",0.444444444444444,2015-04-25
"Sunday, Apr 26","BOS","W","9-10","BAL","AL","east",0.473684210526316,2015-04-26
"Wednesday, Apr 29","CHW","W","10-10","BAL","AL","east",0.5,2015-04-29
"Friday, May 1","TBR","L","10-11","BAL","AL","east",0.476190476190476,2015-05-01
"Saturday, May 2","TBR","W","11-11","BAL","AL","east",0.5,2015-05-02
"Sunday, May 3","TBR","W","12-11","BAL","AL","east",0.521739130434783,2015-05-03
"Tuesday, May 5","NYM","L","12-12","BAL","AL","east",0.5,2015-05-05
"Wednesday, May 6","NYM","L","12-13","BAL","AL","east",0.48,2015-05-06
"Thursday, May 7","NYY","L","12-14","BAL","AL","east",0.461538461538462,2015-05-07
"Friday, May 8","NYY","L","12-15","BAL","AL","east",0.444444444444444,2015-05-08
"Saturday, May 9","NYY","W","13-15","BAL","AL","east",0.464285714285714,2015-05-09
"Sunday, May 10","NYY","L","13-16","BAL","AL","east",0.448275862068966,2015-05-10
"Monday, May 11","TOR","W","14-16","BAL","AL","east",0.466666666666667,2015-05-11
"Tuesday, May 12","TOR","L","14-17","BAL","AL","east",0.451612903225806,2015-05-12
"Wednesday, May 13","TOR","W","15-17","BAL","AL","east",0.46875,2015-05-13
"Friday, May 15","LAA","L","15-18","BAL","AL","east",0.454545454545455,2015-05-15
"Saturday, May 16","LAA","L","15-19","BAL","AL","east",0.441176470588235,2015-05-16
"Sunday, May 17","LAA","W","16-19","BAL","AL","east",0.457142857142857,2015-05-17
"Tuesday, May 19","SEA","W","17-19","BAL","AL","east",0.472222222222222,2015-05-19
"Wednesday, May 20","SEA","L","17-20","BAL","AL","east",0.459459459459459,2015-05-20
"Thursday, May 21","SEA","W","18-20","BAL","AL","east",0.473684210526316,2015-05-21
"Friday, May 22","MIA","W","19-20","BAL","AL","east",0.487179487179487,2015-05-22
"Saturday, May 23","MIA","L-wo","19-21","BAL","AL","east",0.475,2015-05-23
"Sunday, May 24","MIA","L","19-22","BAL","AL","east",0.463414634146341,2015-05-24
"Monday, May 25","HOU","W","20-22","BAL","AL","east",0.476190476190476,2015-05-25
"Tuesday, May 26","HOU","L","20-23","BAL","AL","east",0.465116279069767,2015-05-26
"Wednesday, May 27","HOU","W","21-23","BAL","AL","east",0.477272727272727,2015-05-27
"Thursday, May 28 (1)","CHW","L","21-24","BAL","AL","east",0.466666666666667,2015-05-28
"Thursday, May 28 (2)","CHW","W","22-24","BAL","AL","east",0.478260869565217,2015-05-28
"Friday, May 29","TBR","W-wo","23-24","BAL","AL","east",0.48936170212766,2015-05-29
"Saturday, May 30","TBR","L","23-25","BAL","AL","east",0.479166666666667,2015-05-30
"Sunday, May 31","TBR","L","23-26","BAL","AL","east",0.469387755102041,2015-05-31
"Monday, Jun 1","HOU","L","23-27","BAL","AL","east",0.46,2015-06-01
"Tuesday, Jun 2","HOU","L","23-28","BAL","AL","east",0.450980392156863,2015-06-02
"Wednesday, Jun 3","HOU","L","23-29","BAL","AL","east",0.442307692307692,2015-06-03
"Thursday, Jun 4","HOU","W","24-29","BAL","AL","east",0.452830188679245,2015-06-04
"Friday, Jun 5","CLE","W","25-29","BAL","AL","east",0.462962962962963,2015-06-05
"Saturday, Jun 6","CLE","L","25-30","BAL","AL","east",0.454545454545455,2015-06-06
"Sunday, Jun 7","CLE","W","26-30","BAL","AL","east",0.464285714285714,2015-06-07
"Tuesday, Jun 9","BOS","W","27-30","BAL","AL","east",0.473684210526316,2015-06-09
"Wednesday, Jun 10","BOS","W","28-30","BAL","AL","east",0.482758620689655,2015-06-10
"Thursday, Jun 11","BOS","W","29-30","BAL","AL","east",0.491525423728814,2015-06-11
"Friday, Jun 12","NYY","W","30-30","BAL","AL","east",0.5,2015-06-12
"Saturday, Jun 13","NYY","W","31-30","BAL","AL","east",0.508196721311475,2015-06-13
"Sunday, Jun 14","NYY","L","31-31","BAL","AL","east",0.5,2015-06-14
"Monday, Jun 15","PHI","W","32-31","BAL","AL","east",0.507936507936508,2015-06-15
"Tuesday, Jun 16","PHI","W","33-31","BAL","AL","east",0.515625,2015-06-16
"Wednesday, Jun 17","PHI","W","34-31","BAL","AL","east",0.523076923076923,2015-06-17
"Thursday, Jun 18","PHI","L","34-32","BAL","AL","east",0.515151515151515,2015-06-18
"Friday, Jun 19","TOR","L","34-33","BAL","AL","east",0.507462686567164,2015-06-19
"Saturday, Jun 20","TOR","W","35-33","BAL","AL","east",0.514705882352941,2015-06-20
"Sunday, Jun 21","TOR","W","36-33","BAL","AL","east",0.521739130434783,2015-06-21
"Tuesday, Jun 23","BOS","W","37-33","BAL","AL","east",0.528571428571429,2015-06-23
"Wednesday, Jun 24","BOS","L","37-34","BAL","AL","east",0.52112676056338,2015-06-24
"Thursday, Jun 25","BOS","W","38-34","BAL","AL","east",0.527777777777778,2015-06-25
"Friday, Jun 26","CLE","W","39-34","BAL","AL","east",0.534246575342466,2015-06-26
"Sunday, Jun 28 (1)","CLE","W","40-34","BAL","AL","east",0.540540540540541,2015-06-28
"Sunday, Jun 28 (2)","CLE","W","41-34","BAL","AL","east",0.546666666666667,2015-06-28
"Monday, Jun 29","TEX","L","41-35","BAL","AL","east",0.539473684210526,2015-06-29
"Tuesday, Jun 30","TEX","L","41-36","BAL","AL","east",0.532467532467532,2015-06-30
"Wednesday, Jul 1","TEX","W","42-36","BAL","AL","east",0.538461538461538,2015-07-01
"Thursday, Jul 2","TEX","L","42-37","BAL","AL","east",0.531645569620253,2015-07-02
"Friday, Jul 3","CHW","L","42-38","BAL","AL","east",0.525,2015-07-03
"Saturday, Jul 4","CHW","L","42-39","BAL","AL","east",0.518518518518518,2015-07-04
"Sunday, Jul 5","CHW","W","43-39","BAL","AL","east",0.524390243902439,2015-07-05
"Monday, Jul 6","MIN","L-wo","43-40","BAL","AL","east",0.518072289156627,2015-07-06
"Tuesday, Jul 7","MIN","L","43-41","BAL","AL","east",0.511904761904762,2015-07-07
"Wednesday, Jul 8","MIN","L","43-42","BAL","AL","east",0.505882352941176,2015-07-08
"Friday, Jul 10","WSN","W-wo","44-42","BAL","AL","east",0.511627906976744,2015-07-10
"Saturday, Jul 11","WSN","L","44-43","BAL","AL","east",0.505747126436782,2015-07-11
"Sunday, Jul 12","WSN","L","44-44","BAL","AL","east",0.5,2015-07-12
"Friday, Jul 17","DET","L","44-45","BAL","AL","east",0.49438202247191,2015-07-17
"Saturday, Jul 18","DET","W","45-45","BAL","AL","east",0.5,2015-07-18
"Sunday, Jul 19","DET","W","46-45","BAL","AL","east",0.505494505494505,2015-07-19
"Tuesday, Jul 21","NYY","L","46-46","BAL","AL","east",0.5,2015-07-21
"Wednesday, Jul 22","NYY","L","46-47","BAL","AL","east",0.494623655913978,2015-07-22
"Thursday, Jul 23","NYY","L","46-48","BAL","AL","east",0.48936170212766,2015-07-23
"Friday, Jul 24","TBR","L","46-49","BAL","AL","east",0.484210526315789,2015-07-24
"Saturday, Jul 25","TBR","W","47-49","BAL","AL","east",0.489583333333333,2015-07-25
"Sunday, Jul 26","TBR","W","48-49","BAL","AL","east",0.494845360824742,2015-07-26
"Monday, Jul 27","ATL","W-wo","49-49","BAL","AL","east",0.5,2015-07-27
"Tuesday, Jul 28","ATL","W","50-49","BAL","AL","east",0.505050505050505,2015-07-28
"Wednesday, Jul 29","ATL","W","51-49","BAL","AL","east",0.51,2015-07-29
"Thursday, Jul 30","DET","L","51-50","BAL","AL","east",0.504950495049505,2015-07-30
"Friday, Jul 31","DET","W","52-50","BAL","AL","east",0.509803921568627,2015-07-31
"Saturday, Aug 1","DET","W","53-50","BAL","AL","east",0.514563106796116,2015-08-01
"Sunday, Aug 2","DET","L","53-51","BAL","AL","east",0.509615384615385,2015-08-02
"Monday, Aug 3","OAK","W","54-51","BAL","AL","east",0.514285714285714,2015-08-03
"Tuesday, Aug 4","OAK","L","54-52","BAL","AL","east",0.509433962264151,2015-08-04
"Wednesday, Aug 5","OAK","W","55-52","BAL","AL","east",0.514018691588785,2015-08-05
"Friday, Aug 7","LAA","L","55-53","BAL","AL","east",0.509259259259259,2015-08-07
"Saturday, Aug 8","LAA","W","56-53","BAL","AL","east",0.513761467889908,2015-08-08
"Sunday, Aug 9","LAA","L-wo","56-54","BAL","AL","east",0.509090909090909,2015-08-09
"Monday, Aug 10","SEA","W","57-54","BAL","AL","east",0.513513513513513,2015-08-10
"Tuesday, Aug 11","SEA","L-wo","57-55","BAL","AL","east",0.508928571428571,2015-08-11
"Wednesday, Aug 12","SEA","L","57-56","BAL","AL","east",0.504424778761062,2015-08-12
"Friday, Aug 14","OAK","W-wo","58-56","BAL","AL","east",0.508771929824561,2015-08-14
"Saturday, Aug 15","OAK","W-wo","59-56","BAL","AL","east",0.51304347826087,2015-08-15
"Sunday, Aug 16","OAK","W","60-56","BAL","AL","east",0.517241379310345,2015-08-16
"Monday, Aug 17","OAK","W","61-56","BAL","AL","east",0.521367521367521,2015-08-17
"Tuesday, Aug 18","NYM","L","61-57","BAL","AL","east",0.516949152542373,2015-08-18
"Wednesday, Aug 19","NYM","W-wo","62-57","BAL","AL","east",0.521008403361345,2015-08-19
"Thursday, Aug 20","MIN","L","62-58","BAL","AL","east",0.516666666666667,2015-08-20
"Friday, Aug 21","MIN","L","62-59","BAL","AL","east",0.512396694214876,2015-08-21
"Saturday, Aug 22","MIN","L","62-60","BAL","AL","east",0.508196721311475,2015-08-22
"Sunday, Aug 23","MIN","L","62-61","BAL","AL","east",0.504065040650406,2015-08-23
"Monday, Aug 24","KCR","L","62-62","BAL","AL","east",0.5,2015-08-24
"Tuesday, Aug 25","KCR","L","62-63","BAL","AL","east",0.496,2015-08-25
"Wednesday, Aug 26","KCR","W","63-63","BAL","AL","east",0.5,2015-08-26
"Thursday, Aug 27","KCR","L","63-64","BAL","AL","east",0.496062992125984,2015-08-27
"Friday, Aug 28","TEX","L","63-65","BAL","AL","east",0.4921875,2015-08-28
"Saturday, Aug 29","TEX","L","63-66","BAL","AL","east",0.488372093023256,2015-08-29
"Sunday, Aug 30","TEX","L","63-67","BAL","AL","east",0.484615384615385,2015-08-30
"Monday, Aug 31","TBR","L","63-68","BAL","AL","east",0.480916030534351,2015-08-31
"Tuesday, Sep 1","TBR","L","63-69","BAL","AL","east",0.477272727272727,2015-09-01
"Wednesday, Sep 2","TBR","W-wo","64-69","BAL","AL","east",0.481203007518797,2015-09-02
"Friday, Sep 4","TOR","W","65-69","BAL","AL","east",0.485074626865672,2015-09-04
"Saturday, Sep 5","TOR","L","65-70","BAL","AL","east",0.481481481481481,2015-09-05
"Sunday, Sep 6","TOR","L","65-71","BAL","AL","east",0.477941176470588,2015-09-06
"Monday, Sep 7","NYY","L","65-72","BAL","AL","east",0.474452554744526,2015-09-07
"Tuesday, Sep 8","NYY","W","66-72","BAL","AL","east",0.478260869565217,2015-09-08
"Wednesday, Sep 9","NYY","W","67-72","BAL","AL","east",0.482014388489209,2015-09-09
"Friday, Sep 11","KCR","W","68-72","BAL","AL","east",0.485714285714286,2015-09-11
"Saturday, Sep 12","KCR","L","68-73","BAL","AL","east",0.482269503546099,2015-09-12
"Sunday, Sep 13","KCR","W","69-73","BAL","AL","east",0.485915492957746,2015-09-13
"Monday, Sep 14","BOS","W","70-73","BAL","AL","east",0.48951048951049,2015-09-14
"Tuesday, Sep 15","BOS","W-wo","71-73","BAL","AL","east",0.493055555555556,2015-09-15
"Wednesday, Sep 16","BOS","L","71-74","BAL","AL","east",0.489655172413793,2015-09-16
"Thursday, Sep 17","TBR","W","72-74","BAL","AL","east",0.493150684931507,2015-09-17
"Friday, Sep 18","TBR","L","72-75","BAL","AL","east",0.489795918367347,2015-09-18
"Saturday, Sep 19","TBR","W","73-75","BAL","AL","east",0.493243243243243,2015-09-19
"Sunday, Sep 20","TBR","L-wo","73-76","BAL","AL","east",0.48993288590604,2015-09-20
"Tuesday, Sep 22","WSN","W","74-76","BAL","AL","east",0.493333333333333,2015-09-22
"Wednesday, Sep 23","WSN","W","75-76","BAL","AL","east",0.496688741721854,2015-09-23
"Thursday, Sep 24","WSN","W","76-76","BAL","AL","east",0.5,2015-09-24
"Friday, Sep 25","BOS","L","76-77","BAL","AL","east",0.496732026143791,2015-09-25
"Saturday, Sep 26","BOS","L","76-78","BAL","AL","east",0.493506493506494,2015-09-26
"Sunday, Sep 27","BOS","L","76-79","BAL","AL","east",0.490322580645161,2015-09-27
"Monday, Apr 6","NYM","L","0-1","WSN","NL","east",0,2015-04-06
"Wednesday, Apr 8","NYM","W","1-1","WSN","NL","east",0.5,2015-04-08
"Thursday, Apr 9","NYM","L","1-2","WSN","NL","east",0.333333333333333,2015-04-09
"Friday, Apr 10","PHI","L","1-3","WSN","NL","east",0.25,2015-04-10
"Saturday, Apr 11","PHI","L-wo","1-4","WSN","NL","east",0.2,2015-04-11
"Sunday, Apr 12","PHI","W","2-4","WSN","NL","east",0.333333333333333,2015-04-12
"Monday, Apr 13","BOS","L","2-5","WSN","NL","east",0.285714285714286,2015-04-13
"Tuesday, Apr 14","BOS","L","2-6","WSN","NL","east",0.25,2015-04-14
"Wednesday, Apr 15","BOS","W","3-6","WSN","NL","east",0.333333333333333,2015-04-15
"Thursday, Apr 16","PHI","W","4-6","WSN","NL","east",0.4,2015-04-16
"Friday, Apr 17","PHI","W","5-6","WSN","NL","east",0.454545454545455,2015-04-17
"Saturday, Apr 18","PHI","L","5-7","WSN","NL","east",0.416666666666667,2015-04-18
"Sunday, Apr 19","PHI","W","6-7","WSN","NL","east",0.461538461538462,2015-04-19
"Tuesday, Apr 21","STL","W-wo","7-7","WSN","NL","east",0.5,2015-04-21
"Wednesday, Apr 22","STL","L","7-8","WSN","NL","east",0.466666666666667,2015-04-22
"Thursday, Apr 23","STL","L","7-9","WSN","NL","east",0.4375,2015-04-23
"Friday, Apr 24","MIA","L","7-10","WSN","NL","east",0.411764705882353,2015-04-24
"Saturday, Apr 25","MIA","L","7-11","WSN","NL","east",0.388888888888889,2015-04-25
"Sunday, Apr 26","MIA","L","7-12","WSN","NL","east",0.368421052631579,2015-04-26
"Monday, Apr 27","ATL","L","7-13","WSN","NL","east",0.35,2015-04-27
"Tuesday, Apr 28","ATL","W","8-13","WSN","NL","east",0.380952380952381,2015-04-28
"Wednesday, Apr 29","ATL","W","9-13","WSN","NL","east",0.409090909090909,2015-04-29
"Thursday, Apr 30","NYM","W","10-13","WSN","NL","east",0.434782608695652,2015-04-30
"Friday, May 1","NYM","L","10-14","WSN","NL","east",0.416666666666667,2015-05-01
"Saturday, May 2","NYM","W","11-14","WSN","NL","east",0.44,2015-05-02
"Sunday, May 3","NYM","W","12-14","WSN","NL","east",0.461538461538462,2015-05-03
"Monday, May 4","MIA","W","13-14","WSN","NL","east",0.481481481481481,2015-05-04
"Tuesday, May 5","MIA","L","13-15","WSN","NL","east",0.464285714285714,2015-05-05
"Wednesday, May 6","MIA","W","14-15","WSN","NL","east",0.482758620689655,2015-05-06
"Friday, May 8","ATL","W","15-15","WSN","NL","east",0.5,2015-05-08
"Saturday, May 9","ATL","W-wo","16-15","WSN","NL","east",0.516129032258065,2015-05-09
"Sunday, May 10","ATL","W","17-15","WSN","NL","east",0.53125,2015-05-10
"Monday, May 11","ARI","W","18-15","WSN","NL","east",0.545454545454545,2015-05-11
"Tuesday, May 12","ARI","L","18-16","WSN","NL","east",0.529411764705882,2015-05-12
"Wednesday, May 13","ARI","W","19-16","WSN","NL","east",0.542857142857143,2015-05-13
"Thursday, May 14","SDP","L","19-17","WSN","NL","east",0.527777777777778,2015-05-14
"Friday, May 15","SDP","W","20-17","WSN","NL","east",0.540540540540541,2015-05-15
"Saturday, May 16","SDP","W","21-17","WSN","NL","east",0.552631578947368,2015-05-16
"Sunday, May 17","SDP","W","22-17","WSN","NL","east",0.564102564102564,2015-05-17
"Tuesday, May 19","NYY","W-wo","23-17","WSN","NL","east",0.575,2015-05-19
"Wednesday, May 20","NYY","W","24-17","WSN","NL","east",0.585365853658537,2015-05-20
"Friday, May 22","PHI","W","25-17","WSN","NL","east",0.595238095238095,2015-05-22
"Saturday, May 23","PHI","L","25-18","WSN","NL","east",0.581395348837209,2015-05-23
"Sunday, May 24","PHI","W","26-18","WSN","NL","east",0.590909090909091,2015-05-24
"Monday, May 25","CHC","W","27-18","WSN","NL","east",0.6,2015-05-25
"Tuesday, May 26","CHC","L-wo","27-19","WSN","NL","east",0.58695652173913,2015-05-26
"Wednesday, May 27","CHC","W","28-19","WSN","NL","east",0.595744680851064,2015-05-27
"Friday, May 29","CIN","L","28-20","WSN","NL","east",0.583333333333333,2015-05-29
"Saturday, May 30","CIN","L","28-21","WSN","NL","east",0.571428571428571,2015-05-30
"Sunday, May 31","CIN","L","28-22","WSN","NL","east",0.56,2015-05-31
"Tuesday, Jun 2 (1)","TOR","W","29-22","WSN","NL","east",0.568627450980392,2015-06-02
"Tuesday, Jun 2 (2)","TOR","L","29-23","WSN","NL","east",0.557692307692308,2015-06-02
"Wednesday, Jun 3","TOR","L","29-24","WSN","NL","east",0.547169811320755,2015-06-03
"Thursday, Jun 4","CHC","L","29-25","WSN","NL","east",0.537037037037037,2015-06-04
"Friday, Jun 5","CHC","W","30-25","WSN","NL","east",0.545454545454545,2015-06-05
"Saturday, Jun 6","CHC","L","30-26","WSN","NL","east",0.535714285714286,2015-06-06
"Sunday, Jun 7","CHC","L","30-27","WSN","NL","east",0.526315789473684,2015-06-07
"Tuesday, Jun 9","NYY","L","30-28","WSN","NL","east",0.517241379310345,2015-06-09
"Wednesday, Jun 10","NYY","W","31-28","WSN","NL","east",0.525423728813559,2015-06-10
"Thursday, Jun 11","MIL","L","31-29","WSN","NL","east",0.516666666666667,2015-06-11
"Friday, Jun 12","MIL","L","31-30","WSN","NL","east",0.508196721311475,2015-06-12
"Saturday, Jun 13","MIL","W","32-30","WSN","NL","east",0.516129032258065,2015-06-13
"Sunday, Jun 14","MIL","W","33-30","WSN","NL","east",0.523809523809524,2015-06-14
"Monday, Jun 15","TBR","L","33-31","WSN","NL","east",0.515625,2015-06-15
"Tuesday, Jun 16","TBR","W","34-31","WSN","NL","east",0.523076923076923,2015-06-16
"Wednesday, Jun 17","TBR","L","34-32","WSN","NL","east",0.515151515151515,2015-06-17
"Thursday, Jun 18","TBR","L","34-33","WSN","NL","east",0.507462686567164,2015-06-18
"Friday, Jun 19","PIT","W","35-33","WSN","NL","east",0.514705882352941,2015-06-19
"Saturday, Jun 20","PIT","W","36-33","WSN","NL","east",0.521739130434783,2015-06-20
"Sunday, Jun 21","PIT","W","37-33","WSN","NL","east",0.528571428571429,2015-06-21
"Tuesday, Jun 23","ATL","W","38-33","WSN","NL","east",0.535211267605634,2015-06-23
"Wednesday, Jun 24","ATL","W-wo","39-33","WSN","NL","east",0.541666666666667,2015-06-24
"Thursday, Jun 25","ATL","W","40-33","WSN","NL","east",0.547945205479452,2015-06-25
"Friday, Jun 26","PHI","W","41-33","WSN","NL","east",0.554054054054054,2015-06-26
"Sunday, Jun 28 (1)","PHI","W","42-33","WSN","NL","east",0.56,2015-06-28
"Sunday, Jun 28 (2)","PHI","L","42-34","WSN","NL","east",0.552631578947368,2015-06-28
"Tuesday, Jun 30","ATL","W","43-34","WSN","NL","east",0.558441558441558,2015-06-30
"Wednesday, Jul 1","ATL","L","43-35","WSN","NL","east",0.551282051282051,2015-07-01
"Thursday, Jul 2","ATL","L-wo","43-36","WSN","NL","east",0.544303797468354,2015-07-02
"Friday, Jul 3","SFG","W","44-36","WSN","NL","east",0.55,2015-07-03
"Saturday, Jul 4","SFG","W","45-36","WSN","NL","east",0.555555555555556,2015-07-04
"Sunday, Jul 5","SFG","W","46-36","WSN","NL","east",0.560975609756098,2015-07-05
"Monday, Jul 6","CIN","L","46-37","WSN","NL","east",0.55421686746988,2015-07-06
"Tuesday, Jul 7","CIN","L","46-38","WSN","NL","east",0.547619047619048,2015-07-07
"Friday, Jul 10","BAL","L-wo","46-39","WSN","NL","east",0.541176470588235,2015-07-10
"Saturday, Jul 11","BAL","W","47-39","WSN","NL","east",0.546511627906977,2015-07-11
"Sunday, Jul 12","BAL","W","48-39","WSN","NL","east",0.551724137931034,2015-07-12
"Friday, Jul 17","LAD","W","49-39","WSN","NL","east",0.556818181818182,2015-07-17
"Saturday, Jul 18","LAD","L","49-40","WSN","NL","east",0.550561797752809,2015-07-18
"Sunday, Jul 19","LAD","L","49-41","WSN","NL","east",0.544444444444444,2015-07-19
"Monday, Jul 20","NYM","W","50-41","WSN","NL","east",0.549450549450549,2015-07-20
"Tuesday, Jul 21","NYM","L","50-42","WSN","NL","east",0.543478260869565,2015-07-21
"Wednesday, Jul 22","NYM","W","51-42","WSN","NL","east",0.548387096774194,2015-07-22
"Thursday, Jul 23","PIT","L","51-43","WSN","NL","east",0.542553191489362,2015-07-23
"Friday, Jul 24","PIT","L","51-44","WSN","NL","east",0.536842105263158,2015-07-24
